Table with row headings in Column A and column headings are in row 6.  Leading dots indicate sub-parts.,,,,,,,,,,,,,,
Table 8. Gross Vacancy Rates for the 75 Largest Metropolitan Statistical Areas: 2015 to 2018,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
(See definition of Gross Vacancy Rate at end of table),,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,2015,2016,2017,2018,,,,,,,,,
,,,,,,,,,,,,,,
,  Inside Metropolitan Statistical Areas..........................................,11.3,11.3,11.3,10.8,,,,,,,,,
,,,,,,,,,,,,,,
*,"Raleigh, NC24............................................................................................................................................................................",6.8,6.8,8.0,6.7,,,,,,,,,
**,"Richmond, VA.........................................................................................................................................................................",6.3,6.9,9.1,8.0,,,,,,,,,
*,"Riverside-San Bernardino-Ontario, CA..................................................................................................................................",14.7,14.8,16.2,15.1,,,,,,,,,
**,"Rochester, NY...........................................................................................................................................................................................",8.0,7.9,8.5,9.9,,,,,,,,,
,"Sacramento-Roseville-Arden-Arcade, CA25........................................................................................................................",8.8,8.6,7.5,8.6,,,,,,,,,
**,"St. Louis, MO-IL..................................................................................................................................................................................",10.7,9.5,9.2,8.1,,,,,,,,,
**,"Salt Lake City, UT....................................................................................................................................................................",5.2,5.4,5.0,5.0,,,,,,,,,
*,"San Antonio-New Braunfels, TX26...........................................................................................................................................................................",9.0,9.9,9.9,6.7,,,,,,,,,
*,"San Diego-Carlsbad, CA27.................................................................................................................................",7.7,7.5,6.4,7.6,,,,,,,,,
*,"San Francisco-Oakland-Hayward, CA28....................................................................................................................................",5.7,6.0,6.0,7.5,,,,,,,,,
,"San Jose-Sunnyvale-Santa Clara, CA...................................................................................................................................",5.7,6.1,6.0,5.8,,,,,,,,,
*,"Seattle-Tacoma-Bellevue, WA........................................................................................................................................................",5.6,5.6,6.0,5.9,,,,,,,,,
,"Syracuse, NY………………………………………….",11.1,12.0,13.0,10.8,,,,,,,,,
,"Tampa-St. Petersburg-Clearwater, FL..............................................................................................................................................",16.8,16.1,16.2,16.1,,,,,,,,,
**,"Toledo, OH………………………………………………..",10.2,9.1,13.6,12.3,,,,,,,,,
,"Tucson, AZ ..........................................................................................................................................................................................................",11.8,15.6,13.8,12.5,,,,,,,,,
,"Tulsa, OK....................................................................................................................................................................................................",11.4,8.6,10.2,11.7,,,,,,,,,
,"Urban Honolulu, HI29..................................................................................................................................",11.9,13.7,13.9,14.0,,,,,,,,,
**,"Virginia Beach-Norfolk-Newport News, VA-NC30...............................................................................................................................",10.5,12.0,9.4,8.9,,,,,,,,,
**,"Washington-Arlington-Alexandria, DC-VA-MD-WV..........................................................................................",7.7,8.2,7.4,7.0,,,,,,,,,
**,"Worcester, MA.........................................................................................................................................................................................",10.1,8.6,8.2,7.9,,,,,,,,,
,,,,,,,,,,,,,,
Footnotes:,,,,,,,,,,,,,,
"Source: U.S. Census Bureau, Current Population Survey/Housing Vacancy Survey, April 4, 2019.",,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Gross vacancy rate is the percentage of the total housing inventory that is vacant. The rate is computed with the formula:,,,,,,,,,,,,,,
(All vacant units/All housing units (occupied + vacant)) * (100),,,,,,,,,,,,,,
,,,,,,,,,,,,,,
"For definitions of the different types of vacant units, see the Definitions and Explanations:",,,,,,,,,,,,,,
http://www.census.gov/housing/hvs/files/annual18/ann18def.pdf,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Data from 2015 and later are based on 2010 metropolitan/nonmetropolitan definitions.,,,,,,,,,,,,,,
See Source and Accuracy section for explanation.,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
*  Boundaries did not change as a result of the 2010 Decennial Census of Population,,,,,,,,,,,,,,
   and Housing; one or more central city/cities added or deleted.,,,,,,,,,,,,,,
** Boundaries changed as a result of the 2010 Decennial Census of Population,,,,,,,,,,,,,,
   and Housing; one or more county/counties added or deleted.,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
"1 Formerly titled Atlanta-Sandy Springs-Marietta, GA.",,,,,,,,,,,,,,
"2 Formerly titled Baltimore-Towson, MD.",,,,,,,,,,,,,,
"3 Formerly titled Boston-Cambridge-Quincy, MA-NH.",,,,,,,,,,,,,,
"4 Formerly titled Buffalo-Cheektowaga-Tonawanda, NY.",,,,,,,,,,,,,,
"5 Formerly titled Charlotte-Gastonia-Concord, NC-SC.",,,,,,,,,,,,,,
"6 Formerly titled Chicago-Naperville-Joliet, IL.",,,,,,,,,,,,,,
"7 Formerly titled Cincinnati-Middletown, OH-KY-IN.",,,,,,,,,,,,,,
"8 Formerly titled Cleveland-Elyria-Mentor, OH.",,,,,,,,,,,,,,
"9 Formerly titled Denver-Aurora, CO.",,,,,,,,,,,,,,
"10 Formerly titled Detroit-Warren-Livonia, MI.",,,,,,,,,,,,,,
"11 Formerly titled Houston-Baytown-Sugar Land, TX.",,,,,,,,,,,,,,
"12 Formerly titled Indianapolis, IN.",,,,,,,,,,,,,,
"13 Formerly titled Las Vegas-Paradise, NV.",,,,,,,,,,,,,,
"14 Formerly titled Los Angeles-Long Beach-Santa Ana, CA.",,,,,,,,,,,,,,
"15 Formerly titled Louisville, KY-IN.",,,,,,,,,,,,,,
"16 Formerly titled Miami-Fort Lauderdale-Miami Beach, FL.",,,,,,,,,,,,,,
"17 Formerly titled Nashville-Davidson-Murfreesboro, TN.",,,,,,,,,,,,,,
"18 Formerly titled New Orleans-Metairie-Kenner, LA.",,,,,,,,,,,,,,
"19 Formerly titled New York-Northern New Jersey--Long Island, NY.",,,,,,,,,,,,,,
"20 Formerly titled Orlando, FL.",,,,,,,,,,,,,,
"21 Formerly titled Philadelphia-Camden-Wilmington, PA.",,,,,,,,,,,,,,
"22 Formerly titled Portland-Vancouver-Beaverton, OR-WA.",,,,,,,,,,,,,,
23 Formerly titled Providence-New Bedford-Fall River RI-MA.,,,,,,,,,,,,,,
"24 Formerly titled Raleigh-Cary, NC.",,,,,,,,,,,,,,
"25 Formerly titled Sacramento-Arden-Arcade-Roseville, CA.",,,,,,,,,,,,,,
"26 Formerly titled San Antonio, TX.",,,,,,,,,,,,,,
"27 Formerly titled San Diego-Carlsbad-San Marco, CA.",,,,,,,,,,,,,,
"28 Formerly titled San Francisco-Oakland-Fremont, CA.",,,,,,,,,,,,,,
"29 Formerly titled Honolulu, HI.",,,,,,,,,,,,,,
"30 Formerly titled Virginia Beach-Norfolk-Newport News, VA.",,,,,,,,,,,,,,
,,,,,,,,,,,,,,
