,id,score
0,1SkBh50XDSp7p-MYhZxFPlDqc70P4kHtH0sD0eUDO9kM,0.6751198869234496
0,1Gg8_MUTfgnCht-8__y_cqaKMneeOUgNianocnrEySL4,0.6688994137426808
0,1RgGSns02aofbwJJfYBelv5bWcFjhYl9EmcFAUsBLTK0,0.6680562469811566
0,1JcBOH2APKvGx9QrqvaW5RitjjmX5DCi5IW-P4UDqAOc,0.6762381270824676
0,1KmE8ei2WgecjV4rNvGm8-BKigtx81RcSLDC0Gd1KEso,0.7200878231475749
0,1yVOG0wAkPBOS1_0aF0vA_59FKch_LmsMUW-Z_GK1sIM,0.5492615124607343
0,1oCJiNaBWvj2mnLWqBCIOrMReWtcmOhSPxzaEggjQ5xU,0.5038294060663744
0,1EnbD6EVEtCrbJbfMM6hECpBrqs4h1vygLPlVkC-EReM,0.6817903078715006
0,112QomNLHOUYREJBoxznxffgisldEOdPTVRb14t4iGiU,0.6752721929060528
0,1BmHkE9V0Nz62lenL0d1WKBYmMqxcbYDtGYKFiFNoSZc,0.6643165398707621
0,1RWJ2uSBKPwNJI9FMpOjSlYqaWNCQ-hgcQ9pBi7Gry3o,0.6723897017907976
0,1vYVEw2q3EIvNZa1uX01ZHwiJwSAf6EpdsgiWgQCAsZw,0.6363890238106251
0,1Jju2TdkKUdESdyc-9T__-127xWyNcsqqIPvnYtYJpRc,0.7045932911744673
0,1-HB-r3g2u7lPlJphb2vluNWTVSluyKdrYxyVfMTUHlI,0.5466244641472312
0,15t-p1ayyzjQikuniM01OR-InpWG9UGPU6PqaV5zryRU,0.6830553928889043
0,1Nw66tK7pX8cD6ic_AD1a4_WeFJckSo-8VGH1-Uj1GDQ,0.6556423490911506
0,1Gw2XUkkECsOEMtLLfvHNQXBa0ajxudZqoNNvmnyIvNw,0.6633803602936981
0,10w4jXsTmBl8LI4XDS0m4mnEaZrfZJzdvU_QFt7rbA2Q,0.6466668791612801
0,15vEB5XZNXcFkqU6b_pycRCZwkRZf0aBdXq1IXM-XVOA,0.6801642927072816
0,18oK__OIk30CVXXLBJm5LJ-XeHWwZtr6tl__Bv5_g_40,0.6757236091147659
0,1yBcbDPlP0IIw7Bg3SCAIqbJKuJ-nyFyTpzAepH7fd24,0.6884291627247411
0,1-Y752-gau9lAYn4C4QR5NGlIZIlyEQTb16aynekqJPs,0.6864229727542025
0,19WcTQ16v8lV3uTpLSgx-rglWX32xwW6fuuEL5P4mwao,0.6729328352280989
0,1JV5IB2d8nhkU17yY7DLc8rlWnjJHHv-HQ3O_-06yYyg,0.6641697280125397
0,1-A3XDcya8p0aRg8pKRgHAxyuBcNSxSX3aAqp8Tc5L30,0.6487485747961771
0,14dIL2bZtSHa9hu4ArIKk5xYDV78vhXqPfgDZ1Wk40J0,0.6754772836162198
0,1NfrFLufzcQ8qXtBw3k3Wvjr08iC_PA-rQiXB_Y01zWo,0.6822257865439881
0,1arcbdWptV3_qhX803fuNXUf6D7gdWsdX4fgvmzPoEmQ,0.6855318214281514
0,10RCy7PsdEDRIykg9V8BbfEfqlkCdk_s1TG5YjAvz8TU,0.6495243189182688
0,14MKjqVOkhSPN5Z_4BO5uwF4C1TI8hW-0heGMC73pbMI,0.6771313918139084
0,1tfWnw0PuL2LJIZ1QeOTFWRSpAg6AIBYk3tdws6pzPT4,0.6449939401048903
0,1Rn9YpC4wWsWcfPqTP_3eHs-pKI8i_c86ohSZbqc-Fy0,0.6349301224210823
0,1Fic4Myl1m0EEEVOgVj0fQPGEbNgeUbcJcGueokA_BlI,0.700007932041362
0,1lKb0hMID-s_jmNldwwRm8O_DLMGA3kXRonPPIztPlSg,0.6360066987261801
0,1Mo-S-STJdFsDdNHbA85Ig_cJhO8ZxtbDaONB-k98z28,0.7418104699618525
0,120ycTi8sD4X6A7N1VFoXoE4zbKuRma1kEnutT0yWN6o,0.6332115449127138
0,1Sj8tOM39aYebO-DnbkZrSK-qAn-iNUE4SuEpd-a1eWg,0.6621818571506514
0,12AOaTPBlWbMfEDs5CNC-qPrpC7EBcvY2qZGzct8pyAI,0.6989284267119311
0,1eW-jUxR-bsOMH3dCQ2Zrsi9yvT_hVfUzzldR80c-h1Q,0.6802041384046067
0,1IYvkgFbFRCHNKwhKR-kOGbFNWoDoOQyu_PHrMRTkJbA,0.6364091533749655
0,1Rk7gEwMwhxwYTZWD5sqQGLijIn_IDXIHv6hF991MLrQ,0.6418107391269375
0,1fkAyKgZ4caF3KvAISMqsdK4GpHher6SF0NqOdkQO3EM,0.6669613747266088
0,13VYYptjMuiZAAdkoFC0tSvgRc0tsyJsSBGGdNmAYTl0,0.6850331565677721
0,1RPEj8uaAAqoD1jJQFTBREVBfmLBu2MjXeCSaKk0kVI0,0.6831395151604721
0,128tlxAb8PlDyPCPFvFDU21CmCDQUZzPZ9sp7JdNcSAA,0.6577189820562745
0,1D_4sFF6tiQOPhW_ZnzT0UonVFg0vq4zdilK_qVVEgAU,0.6784418776271107
0,1DyyiC4Z0WY-HX9GqlLZzvfxQMddntXpkHM_HIHeSTw0,0.6608659630104646
0,1-HtdZC48E7-XiAUwf5chQvXOZA5ljuepd5kKN3v86yk,0.7213321301672194
0,1Qm4jszeZy3XnHY-sthxTLKs5Hgv13e8-EbvCu-4jrIU,0.6800694235007441
0,14wNVMOHn5c8tZN-BooCLn_3o3c8tVx3XQuu65ZXcVVk,0.6876989185492409
0,18yZEurIkcf-uPjVHWS9wjv6-OnJv5GNcWx2VfaaGV9k,0.6608783574455318
0,10ydJYoB-R8rLI0L9LaAMRTJcnRF4mf-z7FWyvKrSbQI,0.6763147767439845
0,190mFL2zjqJn-P8BwdErMYfQUuQYh7dtfMnDM4Xrs7xk,0.7216367474119112
0,1VayiafhYFYxopmh-8gCAIHBp9dcjmfT2mbJR0vozesA,0.6722244386873124
0,1Aj66gwLeRUIFQg-st4aaMf8LPjfRWlDeIyo-QvoUWAQ,0.6796683462358128
